date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
10/3/09,55,82,0,0,0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/10/09,59,79,0.02,0,0,7.83,220,17,220,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10/14/09,46.9,61,0.14,0,0,8.72,40,14.99,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
10/17/09,45,57.9,0,0,0,6.26,30,14.09,40,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/29/09,48,68,0,0,0,5.82,80,14.99,70,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/3/09,37.9,71.1,0,0,0,2.01,20,8.05,290,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/10/09,55.9,63,0.88,0,0,4.7,30,16.11,30,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11/16/09,42.1,73.9,0,0,0,0.89,80,8.05,100,12.08,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/17/09,46.9,63,0,0,0,5.82,50,14.09,50,17,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/18/09,52,62.1,0.45,0,0,8.28,40,16.11,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
11/19/09,57.9,73,0.01,0,0,5.14,250,10.07,250,14.99,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
11/22/09,37,57,0.19,0,0,5.82,70,17,70,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11/27/09,36,54,0,0,0,7.38,250,21.03,270,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
12/1/09,30,55.9,0,0,0,2.01,240,8.05,230,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/8/09,33.1,46,0.45,0,0,6.49,80,16.11,80,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
12/11/09,25,36,0,0,0,3.36,290,12.08,290,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/16/09,28.9,48.9,0,0,0,2.91,10,10.07,350,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/17/09,28,45,0,0,0,2.01,50,10.07,20,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/21/09,24.1,48.9,0,0,0,2.24,240,14.09,270,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/23/09,25,53.1,0,0,0,0.45,50,6.04,160,10.07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/7/10,19.9,48,0,0,0,5.37,210,12.97,230,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/8/10,21.9,42.1,0.05,0,0,8.95,240,23.04,230,33.11,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
1/10/10,19,37,0,0,0,2.46,30,12.08,30,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/14/10,23,57,0,0,0,3.58,220,8.95,220,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/19/10,35.1,66,0,0,0,1.79,240,12.08,230,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/16/10,27,41,0,0,0,7.61,240,17.9,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/20/10,23,59,0,0,0,2.46,280,12.08,290,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/22/10,36,52,0.29,0,0,2.46,110,16.11,110,19.91,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
3/2/10,33.1,42.1,0.29,0.2,0,9.62,50,19.91,10,25.95,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
3/9/10,35.1,73,0,0,0,2.01,230,14.09,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/16/10,39,52,0,0,0,4.7,20,14.09,30,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/20/10,39.9,78.1,0,0,0,5.59,220,17,210,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/2/10,54,88,0,0,0,4.7,200,14.09,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/4/10,57.9,82.9,0,0,0,3.58,220,12.97,230,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/6/10,62.1,90,0,0,0,10.29,230,23.04,230,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/14/10,41,57,0,0,0,7.61,50,16.11,50,23.94,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/2/10,72,91.9,0,0,0,13.87,230,23.94,230,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/10/10,42.1,68,0,0,0,4.47,80,16.11,70,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/14/10,64.9,93.9,0,0,0,7.61,240,14.99,240,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
5/16/10,66.9,82,0.12,0,0,4.92,120,14.99,120,19.91,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
5/20/10,57.9,79,0,0,0,2.68,30,8.95,40,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/26/10,62.1,82.9,0,0,0,5.82,50,16.11,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/28/10,64,87.1,0.41,0,0,6.71,230,25.05,220,31.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
6/1/10,69.1,84.9,0.29,0,0,6.49,160,19.91,170,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
6/2/10,71.1,88,0.01,0,0,4.7,140,12.97,140,17,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
6/14/10,71.1,93,0,0,0,3.8,270,12.97,240,19.91,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/15/10,72,93.9,0.01,0,0,2.46,230,14.99,220,17,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
6/25/10,77,93.9,0,0,0,4.47,190,14.09,190,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/27/10,73,100.9,0,0,0,8.05,230,17.9,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/20/10,73,98.1,0.64,0,0,7.61,280,29.97,280,44.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
7/21/10,75,97,0,0,0,7.83,230,17,260,29.08,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
7/24/10,79,100,0,0,0,9.62,230,17.9,240,25.95,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7/28/10,73.9,93.9,0,0,0,5.14,250,12.97,220,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
