date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
10/3/09,55.0,82.0,0.0,0.0,0.0,2.91,240.0,16.11,230.0,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/10/09,59.0,79.0,0.02,0.0,0.0,7.83,220.0,17.0,220.0,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10/14/09,46.9,61.0,0.14,0.0,0.0,8.72,40.0,14.99,50.0,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
10/17/09,45.0,57.9,0.0,0.0,0.0,6.26,30.0,14.09,40.0,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/29/09,48.0,68.0,0.0,0.0,0.0,5.82,80.0,14.99,70.0,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/3/09,37.9,71.1,0.0,0.0,0.0,2.01,20.0,8.05,290.0,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/10/09,55.9,63.0,0.88,0.0,0.0,4.7,30.0,16.11,30.0,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11/16/09,42.1,73.9,0.0,0.0,0.0,0.89,80.0,8.05,100.0,12.08,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/17/09,46.9,63.0,0.0,0.0,0.0,5.82,50.0,14.09,50.0,17.0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/18/09,52.0,62.1,0.45,0.0,0.0,8.28,40.0,16.11,50.0,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
11/19/09,57.9,73.0,0.01,0.0,0.0,5.14,250.0,10.07,250.0,14.99,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
11/22/09,37.0,57.0,0.19,0.0,0.0,5.82,70.0,17.0,70.0,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11/27/09,36.0,54.0,0.0,0.0,0.0,7.38,250.0,21.03,270.0,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
12/1/09,30.0,55.9,0.0,0.0,0.0,2.01,240.0,8.05,230.0,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/8/09,33.1,46.0,0.45,0.0,0.0,6.49,80.0,16.11,80.0,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
12/11/09,25.0,36.0,0.0,0.0,0.0,3.36,290.0,12.08,290.0,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/16/09,28.9,48.9,0.0,0.0,0.0,2.91,10.0,10.07,350.0,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/17/09,28.0,45.0,0.0,0.0,0.0,2.01,50.0,10.07,20.0,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/21/09,24.1,48.9,0.0,0.0,0.0,2.24,240.0,14.09,270.0,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/23/09,25.0,53.1,0.0,0.0,0.0,0.45,50.0,6.04,160.0,10.07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/7/10,19.9,48.0,0.0,0.0,0.0,5.37,210.0,12.97,230.0,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/8/10,21.9,42.1,0.05,0.0,0.0,8.95,240.0,23.04,230.0,33.11,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
